# COMBINED SOURCE LIST
# created by JV on  Fri Nov 20 12:13:21 2009
# field = 05hr
# input run = 3sig_nclean_pf
# 86.7127 square degrees used
# 150 GHz map RMS depth =       1.27101
# 220 GHz map RMS depth =       3.35460
# Units are degrees, mJy, arcsec
# desc: ID@@int index150@@int index220@@int ix@@float iy@@float ra@@float dec@@float SNR150@@float S_150@@float noise_150@@float SNR220@@float S_220@@float noise_220@@float alpha@@float dr_SUMSS@@float dr_IRAS@@float dr_RASS@@float dr_AT20G@@float
35   34   260   1901.69   1311.44   85.125504   -53.942402   15.4175   19.6382   1.27376   3.85652   12.9841   3.36678   -1.13922   5   1226   810   2
36   35   209   1663.41   2616.40   83.553131   -59.406204   15.3397   18.7311   1.22109   3.95635   12.6415   3.19525   -1.08263   5   1561   49   2195
37   36   86   2005.94   1698.35   85.991371   -55.535564   14.3189   18.2389   1.27376   4.55652   15.3408   3.36678   -0.476445   10   155   6   2771
38   39   42   1564.41   2723.41   82.743187   -59.856209   12.6641   15.4640   1.22109   5.66883   18.1134   3.19525   0.435398   6   910   1326   5
39   38   61   598.073   583.175   76.358421   -50.746994   12.8215   16.8060   1.31077   4.81222   16.6510   3.46014   -0.0255131   3   924   717   1525
40   41   43   1497.00   2598.45   82.191872   -59.332920   12.4910   15.2527   1.22109   5.46727   17.4693   3.19525   0.373613   6   708   7   2138
41   40   48   1786.42   2115.93   84.453194   -57.308056   12.5337   15.9649   1.27376   5.31899   17.9079   3.36678   0.316222   0   884   16   4048
42   68   16   1498.64   1466.04   82.263107   -54.610516   7.33648   9.34491   1.27376   10.9574   36.8912   3.36678   3.78078   121   1757   543   933
43   42   121   928.342   2479.20   77.627922   -58.740059   12.4265   15.0436   1.21061   4.28881   13.7376   3.20313   -0.250056   15   891   761   1236
44   37   -1   1093.34   395.597   79.672760   -50.103165   12.9424   16.6847   1.28915   2.23543   7.74567   3.46495   -2.11283   14   423   634   4030
45   43   226   1753.24   2097.86   84.194252   -57.235912   12.0103   15.2982   1.27376   3.91970   13.1968   3.36678   -0.406843   3   826   353   3953
46   44   673   709.398   859.191   76.947723   -51.935528   11.7506   15.4023   1.31077   3.45825   11.9660   3.46014   -0.695087   2   1139   1407   1
47   46   70   2460.05   473.221   88.588425   -50.311367   11.0811   14.5993   1.31750   4.67426   16.1936   3.46442   0.285371   4   217   658   2265
48   45   1056   1334.09   1810.91   81.020958   -56.037121   11.3164   14.4144   1.27376   3.28938   11.0746   3.36678   -0.725714   6   1083   728   962
49   47   199   880.000   2032.09   77.515717   -56.865158   10.9349   13.7359   1.25615   3.97485   13.2978   3.34548   -0.0892443   6   688   722   1672
50   74   20   1844.55   487.614   84.569031   -50.514107   6.80953   8.77851   1.28915   9.03697   31.3127   3.46495   3.50152   190   454   559   3025
51   49   -1   1229.77   1375.23   80.352554   -54.209904   10.8405   13.8082   1.27376   2.74223   9.23250   3.36678   -1.10832   9   128   1109   3366
52   48   -1   1695.85   653.840   83.609589   -51.220757   10.8792   14.0249   1.28915   2.14756   7.44120   3.46495   -1.74510   1   742   473   2
53   86   21   2200.09   2553.30   87.897339   -59.045704   6.35286   7.92126   1.24688   8.72956   28.5852   3.27453   3.53353   7   4   103   5462
54   67   25   2179.86   635.217   86.818146   -51.070351   7.39707   9.74563   1.31750   7.85696   27.2198   3.46442   2.82807   350   11   1255   3594
55   51   -1   2328.00   1306.83   88.135269   -53.823479   9.99290   13.1223   1.31316   2.77522   9.48209   3.41670   -0.894600   5   971   526   3468
56   55   87   1154.06   2494.00   79.434135   -58.857967   9.12753   11.1455   1.22109   4.55337   14.5492   3.19525   0.733761   5   1436   251   4542
57   52   -1   1035.00   2233.79   78.603790   -57.747322   9.45181   11.4425   1.21061   1.92476   6.16526   3.20313   -1.70270   4   1007   362   2492
58   53   -1   2262.00   490.198   87.303741   -50.444221   9.19341   12.1123   1.31750   2.51149   8.70086   3.46442   -0.910819   10   591   28   5132
59   -1   19   2345.95   621.679   87.911514   -50.967690   2.91085   3.83504   1.31750   9.05320   31.3641   3.46442   5.78619   260   76   1281   4098
60   58   433   1243.23   1551.60   80.407410   -54.946247   8.67321   11.0476   1.27376   3.64808   12.2823   3.36678   0.291710   8   829   514   832
61   89   31   606.559   2741.84   74.804253   -59.707989   6.20045   7.50634   1.21061   7.04973   22.5812   3.20313   3.03249   43   815   575   5094
62   54   -1   1289.36   1117.36   80.825531   -53.143093   9.17515   11.6869   1.27376   1.25132   4.21291   3.36678   -2.80933   1   1064   661   2
63   59   395   1834.00   954.000   84.579918   -52.461678   8.32305   10.6016   1.27376   3.68276   12.3990   3.36678   0.431226   10   409   3   3
64   132   27   1019.00   2678.00   78.246796   -59.594330   4.69041   5.67827   1.21061   7.71545   24.7136   3.20313   4.04941   204   162   540   3557
65   57   -1   1570.00   1733.42   82.780083   -55.725430   8.75975   11.1578   1.27376   2.01520   6.78475   3.36678   -1.36970   7   272   1320   1213
66   65   62   1480.85   1455.00   82.137230   -54.564049   7.52776   9.58855   1.27376   4.80497   16.1773   3.36678   1.44013   13   1582   269   628
67   56   -1   2547.00   1234.00   89.626884   -53.440426   8.82818   11.5928   1.31316   1.34753   4.60409   3.41670   -2.54259   6   365   383   6
68   61   407   2144.23   2223.48   87.265312   -57.688839   7.91974   9.87498   1.24688   3.66659   12.0064   3.27453   0.538105   2   839   760   753
69   64   341   1306.00   738.750   81.002960   -51.566093   7.73558   9.97232   1.28915   3.74335   12.9705   3.46495   0.723770   7   1247   503   361
70   125   32   2287.67   1243.67   87.817398   -53.573597   4.83023   6.34288   1.31316   6.87111   23.4765   3.41670   3.60326   14   4   732   2996
71   60   -1   1343.00   743.164   81.250397   -51.587997   8.08511   10.4229   1.28915   2.20614   7.64416   3.46495   -0.853727   5   1217   79   813
72   70   409   1652.68   2351.83   83.441368   -58.301937   7.24140   8.84241   1.22109   3.66492   11.7104   3.19525   0.773463   36   514   4   4900
73   145   34   961.683   2155.00   78.072586   -57.400208   4.54110   5.49751   1.21061   6.63079   21.2393   3.20313   3.72135   118   4   765   996
74   63   -1   1660.00   563.866   83.365685   -50.846703   7.82389   10.0862   1.28915   1.35314   4.68856   3.46495   -2.10920   12   392   793   1454
75   62   -1   2115.74   767.000   86.439240   -51.634846   7.85107   10.1212   1.28915   0.0973478   0.337305   3.46495   -9.36535   10   819   38   1901
76   66   -1   1013.40   1933.40   78.577171   -56.491764   7.44272   9.34914   1.25615   2.27505   7.61114   3.34548   -0.566293   1   390   728   1779
77   69   -1   792.825   2491.93   76.533226   -58.747547   7.24714   8.77348   1.21061   2.53521   8.12059   3.20313   -0.212921   6   786   373   926
78   77   242   965.000   2619.00   77.839958   -59.333344   6.61621   8.00966   1.21061   3.89379   12.4723   3.20313   1.21937   5   733   742   2361
79   111   49   838.870   2721.74   76.735222   -59.720577   5.17937   6.27021   1.21061   5.22304   16.7300   3.20313   2.70216   385   12   1497   3199
80   91   142   1003.00   1272.00   78.779160   -53.737717   6.04568   7.70075   1.27376   4.18354   14.0851   3.36678   1.66249   8   12   971   4881
81   108   50   866.489   1271.51   77.819054   -53.699856   5.23271   6.57305   1.25615   5.16273   17.2718   3.34548   2.66004   203   287   1025   5990
82   73   -1   1493.00   1550.00   82.219856   -54.960258   6.86647   8.74622   1.27376   2.41012   8.11435   3.36678   -0.206470   30   1317   1278   1975
83   87   501   1798.09   2565.81   84.643295   -59.183640   6.30649   7.70079   1.22109   3.58545   11.4564   3.19525   1.09372   14   275   414   4234
84   71   -1   663.170   451.549   76.855057   -50.222530   7.15690   9.38104   1.31077   1.08692   3.76091   3.46014   -2.51667   2   183   1050   1
85   72   -1   2484.00   580.592   88.802238   -50.749973   6.98265   9.19964   1.31750   1.84808   6.40251   3.46442   -0.998031   11   603   803   1934
