# SPT ID	RA	DEC	S/N (2.0mm)	S_raw (2.0mm) [mJy]	S_best (2.0mm) [mJy]	dS_up (2.0mm) [mJy]	dS_down (2.0mm) [mJy]	S/N (1.4mm)	S_raw (1.4mm) [mJy]	S_best (1.4mm) [mJy]	dS_up (1.4mm) [mJy]	dS_down (1.4mm) [mJy]	alpha_raw	alpha_best	d_alpha_up	d_alpha_down	P(alpha>1)	Type	dR_SUMSS [arcsec]	dR_RASS [arcsec]	dR_IRAS [arcsec]
SPT-S_J050143-5239.3	  75.431	 -52.657	   0.06	   0.07	   0.39	   0.59	   0.26	   3.23	  10.79	   0.68	   0.83	   0.36	  13.6	   1.9	   2.2	   2.7	   0.53	dust	 522	1010	1304
SPT-S_J050144-5547.7	  75.436	 -55.795	   1.05	   1.32	   0.62	   0.92	   0.43	   3.26	  10.91	   0.83	   1.02	   0.47	   5.8	   1.1	   2.6	   2.6	   0.43	sync	 625	1015	 661
SPT-S_J050145-5824.9	  75.438	 -58.416	   0.30	   0.36	   0.43	   0.65	   0.28	   3.37	  10.78	   0.74	   0.91	   0.42	   9.2	   1.8	   2.2	   2.7	   0.52	dust	 176	1403	 402
SPT-S_J050148-5508.3	  75.454	 -55.139	   1.14	   1.43	   0.71	   0.98	   0.49	   3.73	  12.48	   0.92	   1.22	   0.54	   5.9	   1.2	   2.6	   2.6	   0.43	sync	 372	 723	1154
SPT-S_J050149-5807.6	  75.458	 -58.127	   1.09	   1.32	   0.62	   0.91	   0.43	   3.09	   9.91	   0.83	   0.98	   0.46	   5.5	   1.1	   2.6	   2.5	   0.42	sync	 173	 461	 199
SPT-S_J050149-5823.7	  75.458	 -58.396	   0.31	   0.38	   0.42	   0.64	   0.28	   3.12	   9.98	   0.70	   0.86	   0.39	   8.9	   1.7	   2.2	   2.7	   0.51	dust	 218	1324	 481
SPT-S_J050150-5457.0	  75.459	 -54.950	   0.09	   0.11	   0.40	   0.58	   0.25	   3.10	  10.36	   0.67	   0.82	   0.37	  12.3	   1.8	   2.2	   2.7	   0.53	dust	 241	 613	 487
SPT-S_J050151-5133.0	  75.463	 -51.552	   3.10	   4.07	   0.29	   0.35	   0.15	   0.00	  -0.18	   0.41	   0.85	   0.28	   NaN	   0.7	   2.8	   2.5	   0.38	sync	 217	 511	 485
SPT-S_J050152-5016.2	  75.470	 -50.271	   3.04	   3.99	   0.30	   0.35	   0.16	   0.16	   0.56	   0.42	   0.90	   0.29	  -5.3	   0.8	   2.7	   2.6	   0.39	sync	  43	 340	  20
SPT-S_J050153-5859.0	  75.473	 -58.985	   0.00	  -1.81	   0.27	   0.33	   0.16	   3.27	  10.48	   0.56	   0.69	   0.29	   NaN	   2.6	   1.7	   2.5	   0.65	dust	 361	 855	 440
SPT-S_J050154-5315.7	  75.476	 -53.263	   0.90	   1.13	   0.59	   0.89	   0.40	   3.53	  11.82	   0.85	   1.04	   0.49	   6.4	   1.3	   2.5	   2.6	   0.46	sync	 264	 579	 745
SPT-S_J050154-5033.2	  75.478	 -50.553	   0.00	  -1.34	   0.29	   0.40	   0.18	   3.11	  10.75	   0.57	   0.71	   0.30	   NaN	   2.3	   1.9	   2.6	   0.61	dust	 363	 820	 996
SPT-S_J050155-5816.7	  75.482	 -58.280	   0.51	   0.62	   0.49	   0.73	   0.33	   3.66	  11.73	   0.80	   1.03	   0.46	   8.0	   1.7	   2.2	   2.7	   0.51	dust	  61	 911	 419
SPT-S_J050155-5336.4	  75.482	 -53.607	   1.64	   2.07	   1.06	   1.22	   0.75	   3.98	  13.33	   1.16	   1.67	   0.67	   5.1	   0.8	   2.8	   2.5	   0.38	sync	 228	1470	1271
SPT-S_J050156-5603.7	  75.485	 -56.062	   3.19	   4.01	   0.27	   0.32	   0.14	   0.00	  -3.21	   0.35	   0.67	   0.23	   NaN	   0.4	   2.8	   2.3	   0.33	sync	 288	 195	 199
SPT-S_J050156-5116.8	  75.486	 -51.280	   3.16	   4.15	   0.39	   0.64	   0.22	   1.68	   5.83	   0.75	   2.00	   0.57	   0.9	   1.7	   2.4	   3.0	   0.50	sync	 386	 506	 700
SPT-S_J050159-5922.3	  75.498	 -59.373	   3.95	   4.79	   0.55	   2.34	   0.36	   1.08	   3.45	   1.01	   2.15	   0.79	  -0.9	   0.8	   2.8	   2.5	   0.38	sync	   5	 552	 310
SPT-S_J050159-5649.0	  75.499	 -56.817	   0.00	  -0.53	   0.34	   0.50	   0.22	   3.48	  11.63	   0.64	   0.83	   0.35	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 686	 974	 165
SPT-S_J050201-5451.9	  75.505	 -54.865	   3.43	   4.31	   0.32	   0.44	   0.17	   0.09	   0.30	   0.46	   1.00	   0.32	  -7.3	   0.7	   2.8	   2.5	   0.38	sync	  47	 354	 274
SPT-S_J050202-5146.6	  75.509	 -51.778	   0.91	   1.19	   0.62	   0.97	   0.43	   3.92	  13.58	   0.90	   1.20	   0.53	   6.6	   1.4	   2.5	   2.7	   0.46	sync	 517	 808	1028
SPT-S_J050204-5147.3	  75.518	 -51.790	   1.49	   1.96	   0.80	   1.15	   0.57	   3.05	  10.56	   0.92	   1.01	   0.51	   4.6	   0.5	   2.8	   2.3	   0.35	sync	 560	 854	1037
SPT-S_J050207-5553.8	  75.530	 -55.897	   1.99	   2.50	   1.19	   1.29	   0.85	   3.08	  10.30	   1.09	   1.14	   0.62	   3.8	  -0.0	   2.9	   2.0	   0.28	sync	 333	 786	 683
SPT-S_J050207-5158.7	  75.530	 -51.979	   3.49	   4.57	   0.30	   0.39	   0.16	   0.00	  -1.64	   0.41	   0.84	   0.27	   NaN	   0.5	   2.8	   2.4	   0.35	sync	  86	1391	1121
SPT-S_J050207-5343.8	  75.531	 -53.731	   3.15	   3.95	   0.31	   0.38	   0.16	   0.21	   0.71	   0.44	   0.94	   0.30	  -4.7	   0.8	   2.7	   2.6	   0.39	sync	  50	1080	1393
SPT-S_J050207-5759.3	  75.533	 -57.989	   0.00	  -0.90	   0.31	   0.43	   0.19	   3.12	  10.00	   0.59	   0.75	   0.30	   NaN	   2.3	   1.9	   2.6	   0.60	dust	 411	 268	 710
SPT-S_J050208-5620.9	  75.535	 -56.350	   1.39	   1.75	   0.84	   1.14	   0.58	   3.86	  12.91	   1.03	   1.38	   0.61	   5.4	   1.0	   2.6	   2.5	   0.41	sync	 217	 116	 955
SPT-S_J050209-5313.7	  75.539	 -53.229	   3.28	   4.13	   0.35	   0.50	   0.20	   0.94	   3.16	   0.58	   1.33	   0.42	  -0.7	   1.2	   2.6	   2.8	   0.43	sync	 421	 682	 912
SPT-S_J050211-5040.7	  75.546	 -50.679	   6.76	   8.86	   8.15	   1.40	   1.41	   1.15	   3.98	   4.71	   2.51	   1.48	  -2.2	  -1.5	   1.2	   1.0	   0.00	sync	   7	1184	1459
SPT-S_J050213-5736.9	  75.557	 -57.616	   3.69	   4.46	   0.37	   0.64	   0.22	   0.31	   0.99	   0.56	   1.25	   0.40	  -4.1	   0.6	   2.8	   2.5	   0.37	sync	 481	 823	 486
SPT-S_J050214-5043.0	  75.559	 -50.718	   0.00	  -0.68	   0.33	   0.48	   0.20	   3.06	  10.60	   0.61	   0.74	   0.32	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 141	1297	1603
SPT-S_J050214-5715.6	  75.560	 -57.261	   2.07	   2.60	   1.27	   1.34	   0.90	   3.20	  10.70	   1.15	   1.20	   0.64	   3.8	  -0.1	   2.9	   2.0	   0.27	sync	  34	 705	 798
SPT-S_J050214-5727.4	  75.562	 -57.458	   3.20	   3.87	   0.27	   0.30	   0.14	   0.00	  -5.44	   0.32	   0.56	   0.20	   NaN	   0.1	   2.8	   2.2	   0.30	sync	  65	 811	 109
SPT-S_J050215-5458.4	  75.566	 -54.973	   3.06	   3.85	   0.28	   0.35	   0.15	   0.00	  -0.47	   0.40	   0.82	   0.27	   NaN	   0.7	   2.8	   2.5	   0.37	sync	  32	 461	 653
SPT-S_J050216-5558.7	  75.567	 -55.979	   0.89	   1.12	   0.59	   0.86	   0.41	   3.44	  11.50	   0.83	   1.03	   0.47	   6.3	   1.3	   2.5	   2.6	   0.45	sync	  63	 505	 383
SPT-S_J050216-5331.1	  75.567	 -53.520	   3.26	   4.10	   0.34	   0.48	   0.19	   0.88	   2.95	   0.56	   1.28	   0.40	  -0.9	   1.1	   2.6	   2.8	   0.43	sync	 348	1233	1167
SPT-S_J050216-5557.4	  75.571	 -55.958	   0.30	   0.38	   0.44	   0.65	   0.28	   3.23	  10.80	   0.70	   0.87	   0.38	   9.1	   1.7	   2.2	   2.7	   0.51	dust	 138	 579	 458
SPT-S_J050216-5010.1	  75.571	 -50.169	   3.18	   4.17	   0.29	   0.35	   0.15	   0.00	  -0.79	   0.40	   0.81	   0.27	   NaN	   0.6	   2.8	   2.5	   0.37	sync	 260	 598	 456
SPT-S_J050217-5223.0	  75.574	 -52.385	   3.84	   4.83	   0.66	   2.71	   0.44	   1.72	   5.76	   1.44	   3.08	   1.17	   0.5	   1.3	   2.5	   2.7	   0.44	sync	 398	1307	1886
SPT-S_J050218-5909.4	  75.577	 -59.158	   3.37	   4.08	   0.53	   1.19	   0.33	   2.03	   6.49	   1.17	   2.97	   0.94	   1.3	   2.0	   2.2	   3.0	   0.53	dust	 142	1273	 638
SPT-S_J050218-5238.9	  75.578	 -52.649	   0.00	  -0.27	   0.36	   0.52	   0.23	   3.06	  10.24	   0.64	   0.77	   0.35	   NaN	   2.0	   2.1	   2.7	   0.55	dust	 746	1007	1437
SPT-S_J050219-5438.5	  75.579	 -54.643	   0.13	   0.17	   0.41	   0.59	   0.27	   3.03	  10.12	   0.67	   0.80	   0.36	  11.2	   1.8	   2.2	   2.7	   0.52	dust	 842	 608	 736
SPT-S_J050220-5235.9	  75.587	 -52.599	   3.09	   3.88	   0.32	   0.41	   0.17	   0.67	   2.24	   0.49	   1.09	   0.35	  -1.5	   1.0	   2.7	   2.7	   0.42	sync	 831	1187	1609
SPT-S_J050222-5432.9	  75.592	 -54.550	   1.44	   1.81	   0.84	   1.11	   0.58	   3.55	  11.89	   0.99	   1.20	   0.58	   5.1	   0.8	   2.7	   2.4	   0.38	sync	 719	 895	1051
SPT-S_J050222-5223.4	  75.592	 -52.390	   0.92	   1.16	   0.57	   0.86	   0.38	   3.20	  10.71	   0.81	   0.96	   0.46	   6.1	   1.2	   2.5	   2.6	   0.44	sync	 363	1284	1871
SPT-S_J050222-5858.5	  75.593	 -58.976	   0.00	  -0.24	   0.36	   0.54	   0.23	   3.46	  11.07	   0.67	   0.87	   0.37	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 311	 680	 660
SPT-S_J050222-5837.8	  75.595	 -58.630	   0.00	  -2.20	   0.24	   0.31	   0.14	   3.02	   9.66	   0.53	   0.63	   0.27	   NaN	   2.7	   1.7	   2.5	   0.66	dust	 174	 821	 548
SPT-S_J050223-5056.8	  75.597	 -50.947	   0.60	   0.78	   0.50	   0.75	   0.35	   3.14	  10.86	   0.74	   0.88	   0.41	   7.2	   1.5	   2.4	   2.7	   0.47	sync	 544	 968	1015
SPT-S_J050223-5457.7	  75.597	 -54.963	   3.37	   4.24	   0.27	   0.33	   0.14	   0.00	  -6.17	   0.32	   0.57	   0.21	   NaN	   0.1	   2.8	   2.2	   0.29	sync	 101	 431	 659
SPT-S_J050223-5150.7	  75.599	 -51.845	   3.07	   4.02	   0.31	   0.39	   0.17	   0.59	   2.04	   0.47	   1.05	   0.33	  -1.8	   1.0	   2.7	   2.7	   0.42	sync	 471	1123	1188
SPT-S_J050224-5051.8	  75.603	 -50.864	   0.30	   0.39	   0.44	   0.65	   0.29	   3.14	  10.86	   0.70	   0.84	   0.39	   9.0	   1.7	   2.3	   2.7	   0.50	dust	 273	1233	1242
SPT-S_J050227-5334.8	  75.613	 -53.581	   3.31	   4.16	   0.33	   0.46	   0.18	   0.60	   2.01	   0.52	   1.16	   0.37	  -2.0	   1.0	   2.7	   2.7	   0.41	sync	 147	1307	1386
