# SPT ID	RA	DEC	S/N (2.0mm)	S_raw (2.0mm) [mJy]	S_best (2.0mm) [mJy]	dS_up (2.0mm) [mJy]	dS_down (2.0mm) [mJy]	S/N (1.4mm)	S_raw (1.4mm) [mJy]	S_best (1.4mm) [mJy]	dS_up (1.4mm) [mJy]	dS_down (1.4mm) [mJy]	alpha_raw	alpha_best	d_alpha_up	d_alpha_down	P(alpha>1)	Type	dR_SUMSS [arcsec]	dR_RASS [arcsec]	dR_IRAS [arcsec]
SPT-S_J050405-5838.1	  76.021	 -58.635	   1.43	   1.73	   0.82	   1.08	   0.57	   3.54	  11.33	   0.99	   1.23	   0.57	   5.1	   0.8	   2.7	   2.5	   0.39	sync	 177	 789	 947
SPT-S_J050405-5300.1	  76.023	 -53.002	   3.02	   3.80	   0.32	   0.41	   0.17	   0.83	   2.78	   0.51	   1.14	   0.36	  -0.8	   1.2	   2.6	   2.8	   0.43	sync	 151	 789	1561
SPT-S_J050407-5901.6	  76.030	 -59.028	   1.66	   2.01	   0.95	   1.14	   0.66	   3.32	  10.64	   1.03	   1.18	   0.58	   4.5	   0.5	   2.8	   2.3	   0.34	sync	 529	 825	1440
SPT-S_J050408-5316.7	  76.034	 -53.279	   0.25	   0.31	   0.43	   0.65	   0.27	   3.34	  11.18	   0.70	   0.90	   0.38	   9.7	   1.8	   2.2	   2.7	   0.52	dust	 439	 129	1456
SPT-S_J050415-5224.2	  76.065	 -52.404	   1.94	   2.44	   1.22	   1.30	   0.85	   3.58	  11.98	   1.18	   1.39	   0.67	   4.3	   0.2	   2.9	   2.2	   0.31	sync	 106	 391	1409
SPT-S_J050416-5934.4	  76.067	 -59.574	   0.08	   0.09	   0.46	   0.66	   0.29	   4.40	  14.10	   0.83	   1.22	   0.48	  13.6	   2.2	   2.0	   2.7	   0.58	dust	 435	1272	 699
SPT-S_J050416-5701.6	  76.067	 -57.028	   1.19	   1.49	   0.72	   1.00	   0.50	   3.63	  12.16	   0.92	   1.19	   0.52	   5.7	   1.1	   2.6	   2.6	   0.42	sync	 624	 252	 822
SPT-S_J050418-5812.8	  76.077	 -58.214	   1.18	   1.42	   0.68	   0.94	   0.47	   3.26	  10.44	   0.87	   1.06	   0.49	   5.4	   1.0	   2.6	   2.5	   0.41	sync	 291	 547	 559
SPT-S_J050418-5224.6	  76.079	 -52.411	   3.51	   4.41	   0.45	   0.96	   0.27	   1.54	   5.14	   0.86	   2.19	   0.67	   0.4	   1.5	   2.5	   2.9	   0.46	sync	 100	 388	1429
SPT-S_J050420-5836.2	  76.084	 -58.605	   0.00	  -1.73	   0.26	   0.35	   0.16	   3.04	   9.75	   0.56	   0.66	   0.29	   NaN	   2.6	   1.7	   2.6	   0.64	dust	  18	 829	 798
SPT-S_J050420-5407.4	  76.086	 -54.124	   3.61	   4.53	   0.33	   0.48	   0.18	   0.00	  -0.52	   0.46	   0.99	   0.32	   NaN	   0.5	   2.8	   2.4	   0.35	sync	 595	 774	 725
SPT-S_J050421-5523.0	  76.089	 -55.384	   0.00	  -0.43	   0.34	   0.51	   0.21	   3.11	  10.39	   0.63	   0.76	   0.35	   NaN	   2.1	   2.0	   2.7	   0.56	dust	 102	 755	 425
SPT-S_J050424-5711.9	  76.100	 -57.199	  16.05	  20.17	  19.94	   1.47	   1.52	   7.56	  25.28	  24.53	   4.08	   4.08	   0.6	   0.6	   0.4	   0.5	   0.00	sync	  11	 158	 493
SPT-S_J050424-5933.7	  76.104	 -59.563	   3.87	   4.68	   0.43	   1.27	   0.26	   0.64	   2.05	   0.72	   1.65	   0.54	  -2.3	   0.6	   2.8	   2.5	   0.36	sync	 423	1332	 763
SPT-S_J050426-5708.0	  76.110	 -57.135	   1.25	   1.57	   0.70	   1.00	   0.49	   3.13	  10.46	   0.87	   1.00	   0.49	   5.2	   0.9	   2.7	   2.5	   0.39	sync	 235	 315	 522
SPT-S_J050431-5009.9	  76.133	 -50.166	   1.96	   2.57	   1.16	   1.33	   0.84	   3.07	  10.61	   1.08	   1.11	   0.62	   3.9	  -0.0	   2.9	   2.0	   0.28	sync	 178	 834	1547
SPT-S_J050433-5401.0	  76.139	 -54.018	   3.02	   3.79	   0.30	   0.36	   0.16	   0.24	   0.79	   0.43	   0.92	   0.30	  -4.3	   0.8	   2.7	   2.6	   0.39	sync	 335	 478	 878
SPT-S_J050433-5602.8	  76.140	 -56.048	   0.36	   0.45	   0.43	   0.66	   0.29	   3.07	  10.28	   0.70	   0.85	   0.39	   8.5	   1.7	   2.3	   2.7	   0.50	dust	 652	 185	1143
SPT-S_J050434-5513.9	  76.144	 -55.232	   0.00	  -1.15	   0.30	   0.42	   0.19	   3.34	  11.16	   0.60	   0.75	   0.31	   NaN	   2.4	   1.8	   2.6	   0.61	dust	 141	 829	 819
SPT-S_J050435-5911.9	  76.148	 -59.200	   0.16	   0.19	   0.41	   0.62	   0.26	   3.31	  10.60	   0.71	   0.87	   0.40	  10.9	   1.9	   2.2	   2.7	   0.53	dust	 522	1117	1451
SPT-S_J050437-5351.8	  76.154	 -53.864	   0.00	  -0.06	   0.38	   0.59	   0.24	   3.50	  11.72	   0.69	   0.88	   0.37	   NaN	   2.0	   2.1	   2.7	   0.55	dust	 257	 587	1017
SPT-S_J050437-5818.1	  76.156	 -58.302	   4.83	   5.85	   4.23	   1.67	   3.55	   0.81	   2.59	   2.69	   2.20	   1.66	  -2.2	  -0.8	   2.1	   1.5	   0.13	sync	  36	 895	 211
SPT-S_J050438-5025.1	  76.159	 -50.420	   3.28	   4.30	   0.30	   0.40	   0.16	   0.13	   0.46	   0.45	   0.95	   0.31	  -6.1	   0.8	   2.7	   2.6	   0.38	sync	 369	1234	1670
SPT-S_J050439-5220.4	  76.164	 -52.340	   0.76	   0.95	   0.56	   0.81	   0.37	   3.50	  11.70	   0.80	   1.03	   0.46	   6.8	   1.4	   2.4	   2.6	   0.47	sync	 214	  79	1156
SPT-S_J050439-5309.9	  76.166	 -53.165	   3.23	   4.05	   0.28	   0.32	   0.14	   0.00	  -3.75	   0.35	   0.65	   0.23	   NaN	   0.3	   2.8	   2.3	   0.32	sync	 216	 615	1678
SPT-S_J050441-5504.4	  76.171	 -55.074	   3.16	   3.97	   0.32	   0.39	   0.17	   0.41	   1.39	   0.47	   1.02	   0.33	  -2.9	   0.9	   2.7	   2.7	   0.40	sync	 289	 693	 487
SPT-S_J050442-5906.6	  76.178	 -59.111	   0.00	  -0.87	   0.32	   0.44	   0.21	   3.48	  11.13	   0.64	   0.79	   0.35	   NaN	   2.3	   1.9	   2.6	   0.61	dust	 470	 958	1617
SPT-S_J050448-5845.6	  76.201	 -58.762	   3.37	   4.08	   0.28	   0.34	   0.15	   0.00	  -4.44	   0.34	   0.63	   0.22	   NaN	   0.2	   2.8	   2.2	   0.30	sync	 142	 730	 987
SPT-S_J050448-5813.7	  76.202	 -58.229	   0.57	   0.69	   0.47	   0.72	   0.32	   3.09	   9.89	   0.73	   0.89	   0.41	   7.2	   1.5	   2.4	   2.7	   0.49	sync	 313	 740	 469
SPT-S_J050448-5623.4	  76.204	 -56.390	   3.66	   4.60	   0.37	   0.69	   0.22	   0.59	   1.97	   0.60	   1.40	   0.44	  -2.3	   0.8	   2.8	   2.6	   0.39	sync	 319	 284	 987
SPT-S_J050449-5532.4	  76.205	 -55.541	   3.24	   4.07	   0.40	   0.67	   0.23	   1.62	   5.42	   0.77	   1.99	   0.58	   0.8	   1.6	   2.4	   3.0	   0.49	sync	 176	 788	 109
SPT-S_J050450-5218.0	  76.212	 -52.301	   3.10	   3.89	   0.29	   0.35	   0.15	   0.00	  -0.51	   0.41	   0.82	   0.28	   NaN	   0.7	   2.8	   2.5	   0.36	sync	 156	 109	1016
SPT-S_J050451-5048.7	  76.215	 -50.813	   0.97	   1.27	   0.61	   0.93	   0.42	   3.42	  11.82	   0.83	   1.04	   0.47	   6.1	   1.2	   2.6	   2.6	   0.44	sync	 105	 354	 787
SPT-S_J050451-5019.6	  76.216	 -50.327	   0.00	  -0.92	   0.31	   0.45	   0.20	   3.05	  10.55	   0.58	   0.73	   0.30	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 306	1231	1447
SPT-S_J050455-5939.9	  76.233	 -59.665	   3.49	   4.23	   0.37	   0.57	   0.21	   0.70	   2.26	   0.58	   1.32	   0.42	  -1.7	   0.9	   2.7	   2.7	   0.40	sync	  23	1647	 924
SPT-S_J050456-5059.5	  76.234	 -50.993	   3.51	   4.61	   0.55	   1.80	   0.35	   2.01	   6.94	   1.24	   3.36	   1.00	   1.1	   1.8	   2.3	   2.9	   0.51	dust	 179	 336	 347
SPT-S_J050456-5410.1	  76.235	 -54.170	   1.75	   2.20	   1.08	   1.26	   0.77	   3.71	  12.42	   1.13	   1.44	   0.65	   4.7	   0.5	   2.8	   2.3	   0.35	sync	 802	 737	 619
SPT-S_J050458-5720.0	  76.245	 -57.334	   1.65	   2.08	   0.91	   1.17	   0.65	   3.05	  10.20	   0.97	   1.05	   0.55	   4.3	   0.4	   2.8	   2.2	   0.33	sync	 339	 549	 541
SPT-S_J050459-5041.6	  76.246	 -50.694	   3.19	   4.17	   0.32	   0.42	   0.17	   0.66	   2.27	   0.50	   1.13	   0.35	  -1.7	   1.0	   2.7	   2.7	   0.41	sync	 324	 790	1159
SPT-S_J050459-5059.7	  76.249	 -50.996	   2.37	   3.11	   1.70	   1.46	   1.18	   3.42	  11.83	   1.34	   1.44	   0.73	   3.6	  -0.4	   2.9	   1.8	   0.23	sync	 214	 360	 313
SPT-S_J050500-5305.9	  76.253	 -53.099	   3.19	   4.01	   0.34	   0.46	   0.19	   0.95	   3.17	   0.55	   1.28	   0.40	  -0.6	   1.2	   2.6	   2.8	   0.44	sync	 457	 916	1374
SPT-S_J050500-5229.0	  76.253	 -52.484	   1.01	   1.27	   0.60	   0.88	   0.42	   3.05	  10.20	   0.79	   0.96	   0.44	   5.7	   1.1	   2.6	   2.6	   0.42	sync	 220	 570	1487
SPT-S_J050502-5544.4	  76.259	 -55.740	   0.07	   0.09	   0.40	   0.59	   0.27	   3.26	  10.90	   0.68	   0.84	   0.37	  13.1	   1.9	   2.2	   2.7	   0.53	dust	 118	 528	 722
SPT-S_J050503-5819.2	  76.265	 -58.320	   0.00	  -0.14	   0.39	   0.55	   0.25	   3.54	  11.33	   0.69	   0.89	   0.38	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 219	 765	 206
SPT-S_J050505-5316.0	  76.275	 -53.268	   0.00	  -1.03	   0.32	   0.45	   0.19	   3.81	  12.73	   0.63	   0.84	   0.33	   NaN	   2.4	   1.8	   2.6	   0.62	dust	 118	 558	1299
SPT-S_J050508-5346.4	  76.284	 -53.775	   4.76	   5.98	   4.56	   1.63	   3.38	   1.49	   4.98	   3.54	   2.70	   1.95	  -0.5	  -0.2	   2.0	   1.8	   0.15	sync	 120	 744	 605
SPT-S_J050508-5337.2	  76.286	 -53.620	   3.28	   4.11	   0.30	   0.36	   0.16	   0.00	  -1.27	   0.40	   0.80	   0.27	   NaN	   0.6	   2.8	   2.5	   0.35	sync	  71	1230	 240
SPT-S_J050510-5311.1	  76.295	 -53.185	   3.40	   4.27	   0.36	   0.55	   0.21	   0.94	   3.16	   0.60	   1.43	   0.43	  -0.8	   1.1	   2.6	   2.8	   0.43	sync	 419	 743	1571
SPT-S_J050511-5613.9	  76.297	 -56.232	   2.61	   3.28	   2.03	   1.41	   1.30	   3.46	  11.57	   1.49	   1.58	   0.76	   3.4	  -0.6	   2.8	   1.7	   0.20	sync	  94	 533	 618
SPT-S_J050511-5346.0	  76.297	 -53.767	   2.06	   2.59	   2.72	   1.08	   1.42	   5.39	  18.05	  10.64	   5.75	   9.20	   5.3	   3.6	   1.0	   3.5	   0.74	dust	  82	 766	 568
SPT-S_J050511-5101.6	  76.298	 -51.028	   1.98	   2.59	   1.20	   1.35	   0.85	   3.21	  11.11	   1.11	   1.19	   0.63	   4.0	  -0.0	   2.9	   2.0	   0.28	sync	 358	 516	 221
SPT-S_J050512-5055.1	  76.301	 -50.919	   3.07	   4.03	   0.29	   0.36	   0.15	   0.17	   0.58	   0.43	   0.91	   0.29	  -5.3	   0.8	   2.7	   2.6	   0.39	sync	 351	 294	 359
SPT-S_J050514-5422.7	  76.311	 -54.379	   3.88	   4.87	   0.32	   0.53	   0.18	   0.00	  -3.17	   0.42	   0.89	   0.29	   NaN	   0.1	   2.9	   2.2	   0.30	sync	 378	 754	 149
SPT-S_J050515-5206.6	  76.314	 -52.110	   1.38	   1.81	   0.75	   1.09	   0.52	   3.06	  10.60	   0.88	   1.01	   0.50	   4.8	   0.7	   2.8	   2.4	   0.37	sync	 313	 599	 430
SPT-S_J050515-5028.5	  76.316	 -50.475	   3.02	   3.96	   0.35	   0.45	   0.20	   1.32	   4.56	   0.59	   1.44	   0.44	   0.4	   1.5	   2.5	   2.9	   0.47	sync	 335	 848	1536
SPT-S_J050519-5154.1	  76.331	 -51.902	   3.20	   4.20	   0.32	   0.43	   0.17	   0.64	   2.20	   0.50	   1.13	   0.35	  -1.8	   1.0	   2.7	   2.7	   0.41	sync	 209	 365	 531
SPT-S_J050519-5210.1	  76.332	 -52.170	   0.00	  -0.85	   0.31	   0.46	   0.20	   3.10	  10.71	   0.59	   0.74	   0.30	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 308	 568	 629
SPT-S_J050519-5147.5	  76.333	 -51.793	   3.21	   4.21	   0.30	   0.39	   0.17	   0.27	   0.94	   0.45	   0.98	   0.32	  -4.1	   0.8	   2.7	   2.6	   0.39	sync	 182	  54	 877
SPT-S_J050520-5819.9	  76.336	 -58.332	   3.03	   3.67	   0.31	   0.39	   0.16	   0.60	   1.94	   0.48	   1.04	   0.34	  -1.7	   1.0	   2.7	   2.7	   0.41	sync	 317	 644	 302
SPT-S_J050521-5934.6	  76.340	 -59.578	   0.42	   0.51	   0.46	   0.68	   0.31	   3.41	  10.94	   0.75	   0.94	   0.41	   8.4	   1.7	   2.2	   2.7	   0.51	dust	 348	1680	 878
SPT-S_J050521-5810.3	  76.341	 -58.173	   3.26	   3.94	   0.31	   0.40	   0.16	   0.04	   0.13	   0.44	   0.92	   0.30	  -9.2	   0.7	   2.8	   2.5	   0.37	sync	 285	 857	 378
SPT-S_J050522-5443.5	  76.344	 -54.726	   3.43	   4.31	   0.31	   0.43	   0.17	   0.00	  -0.21	   0.45	   0.94	   0.31	   NaN	   0.6	   2.8	   2.5	   0.37	sync	 352	 967	 829
SPT-S_J050523-5808.5	  76.346	 -58.143	   4.56	   5.52	   1.44	   3.44	   1.19	   0.22	   0.72	   1.57	   1.86	   1.26	  -5.6	  -0.6	   2.9	   1.7	   0.21	sync	 302	 795	 408
SPT-S_J050526-5044.8	  76.358	 -50.747	  12.82	  16.81	  16.50	   1.48	   1.48	   4.81	  16.65	  15.65	   3.78	   3.84	  -0.0	  -0.1	   0.6	   0.8	   0.00	sync	   3	 717	 924
SPT-S_J050526-5713.3	  76.359	 -57.223	   3.76	   4.72	   0.50	   1.71	   0.31	   1.40	   4.70	   0.97	   2.28	   0.75	  -0.0	   1.2	   2.6	   2.7	   0.42	sync	  28	 611	  98
SPT-S_J050527-5858.7	  76.363	 -58.979	   3.41	   4.13	   0.48	   1.01	   0.29	   1.79	   5.73	   0.99	   2.49	   0.77	   0.9	   1.7	   2.3	   3.0	   0.50	dust	 162	 656	1630
SPT-S_J050527-5328.4	  76.365	 -53.474	   3.74	   4.70	   0.31	   0.44	   0.17	   0.00	  -3.39	   0.39	   0.80	   0.26	   NaN	   0.2	   2.8	   2.2	   0.31	sync	  97	 922	 535
SPT-S_J050528-5507.5	  76.368	 -55.127	   3.28	   4.12	   0.54	   1.31	   0.34	   2.24	   7.50	   1.29	   3.47	   1.04	   1.6	   2.2	   2.0	   3.1	   0.56	dust	 504	1108	 763
SPT-S_J050528-5056.6	  76.369	 -50.944	   1.71	   2.24	   1.63	   1.45	   1.17	   4.87	  16.84	   1.94	   9.28	   1.29	   5.5	   1.9	   2.3	   3.2	   0.52	dust	 253	 464	 216
SPT-S_J050530-5829.3	  76.378	 -58.489	   1.17	   1.42	   0.64	   0.93	   0.44	   3.02	   9.69	   0.84	   0.96	   0.47	   5.2	   1.0	   2.6	   2.5	   0.41	sync	  25	 327	 249
SPT-S_J050531-5454.8	  76.382	 -54.914	   0.32	   0.40	   0.45	   0.65	   0.29	   3.33	  11.15	   0.72	   0.90	   0.40	   9.1	   1.7	   2.2	   2.7	   0.51	dust	  74	1078	 401
SPT-S_J050531-5215.6	  76.382	 -52.261	   3.48	   4.38	   0.29	   0.37	   0.16	   0.00	  -3.52	   0.37	   0.71	   0.25	   NaN	   0.3	   2.8	   2.3	   0.32	sync	 142	 482	 969
SPT-S_J050534-5916.8	  76.395	 -59.281	   0.42	   0.51	   0.47	   0.70	   0.31	   3.66	  11.71	   0.78	   1.01	   0.44	   8.5	   1.8	   2.2	   2.7	   0.51	dust	 686	 970	1621
SPT-S_J050536-5143.2	  76.403	 -51.721	   0.84	   1.10	   0.60	   0.94	   0.41	   3.93	  13.59	   0.88	   1.20	   0.51	   6.9	   1.4	   2.4	   2.7	   0.47	sync	 189	 308	 860
SPT-S_J050537-5738.1	  76.404	 -57.636	   3.05	   3.69	   0.35	   0.47	   0.20	   1.26	   4.03	   0.61	   1.40	   0.45	   0.2	   1.4	   2.5	   2.9	   0.46	sync	 390	 316	 305
SPT-S_J050538-5050.7	  76.409	 -50.846	   0.58	   0.76	   0.53	   0.83	   0.36	   4.01	  13.88	   0.85	   1.15	   0.49	   7.9	   1.7	   2.3	   2.7	   0.50	sync	 206	 582	 568
SPT-S_J050541-5103.1	  76.421	 -51.052	   0.95	   1.25	   0.59	   0.90	   0.41	   3.32	  11.48	   0.83	   0.99	   0.47	   6.0	   1.2	   2.6	   2.6	   0.43	sync	 196	 765	 191
SPT-S_J050541-5739.6	  76.422	 -57.661	   0.00	  -0.61	   0.32	   0.47	   0.20	   3.02	   9.66	   0.61	   0.76	   0.33	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 325	 402	 391
SPT-S_J050542-5416.8	  76.427	 -54.280	   3.09	   3.89	   0.39	   0.59	   0.23	   1.67	   5.60	   0.74	   1.92	   0.56	   1.0	   1.7	   2.3	   3.0	   0.50	dust	 753	1102	 129
SPT-S_J050542-5629.6	  76.429	 -56.494	   3.34	   4.19	   0.60	   1.60	   0.39	   2.32	   7.77	   1.49	   3.84	   1.22	   1.7	   2.2	   2.0	   3.0	   0.58	dust	 417	 452	1010
SPT-S_J050544-5030.4	  76.435	 -50.507	   0.50	   0.66	   0.48	   0.74	   0.31	   3.47	  11.99	   0.75	   0.94	   0.43	   7.9	   1.6	   2.3	   2.7	   0.49	sync	 513	 574	1440
SPT-S_J050545-5417.3	  76.439	 -54.289	   2.13	   2.68	   1.53	   1.35	   1.05	   3.91	  13.07	   1.38	   1.96	   0.78	   4.3	   0.2	   2.9	   2.2	   0.31	sync	 755	1113	 117
SPT-S_J050546-5743.5	  76.442	 -57.725	   0.00	  -0.13	   0.37	   0.55	   0.23	   3.13	  10.03	   0.65	   0.83	   0.36	   NaN	   2.0	   2.1	   2.7	   0.55	dust	 312	 610	 619
SPT-S_J050546-5418.1	  76.444	 -54.302	   1.97	   2.47	   1.17	   1.31	   0.84	   3.26	  10.89	   1.11	   1.20	   0.63	   4.0	   0.0	   2.9	   2.1	   0.29	sync	 741	1104	 100
SPT-S_J050547-5515.2	  76.449	 -55.254	   0.00	  -2.14	   0.27	   0.37	   0.16	   4.16	  13.92	   0.59	   0.81	   0.31	   NaN	   2.7	   1.6	   2.5	   0.67	dust	 490	1078	 800
SPT-S_J050549-5658.3	  76.456	 -56.972	   3.61	   4.53	   0.34	   0.52	   0.19	   0.04	   0.14	   0.49	   1.08	   0.34	  -9.6	   0.6	   2.8	   2.5	   0.36	sync	 545	 475	 829
SPT-S_J050549-5811.4	  76.457	 -58.191	   3.11	   3.77	   0.27	   0.30	   0.13	   0.00	  -4.41	   0.33	   0.59	   0.21	   NaN	   0.2	   2.8	   2.3	   0.31	sync	 244	 969	 149
SPT-S_J050550-5505.1	  76.462	 -55.085	   3.65	   4.58	   0.31	   0.45	   0.17	   0.00	  -2.00	   0.42	   0.88	   0.28	   NaN	   0.4	   2.8	   2.3	   0.33	sync	 675	 953	 764
SPT-S_J050551-5247.3	  76.464	 -52.788	   1.67	   2.10	   0.96	   1.20	   0.67	   3.35	  11.20	   1.02	   1.18	   0.59	   4.6	   0.4	   2.8	   2.3	   0.34	sync	 429	 692	 452
SPT-S_J050552-5227.4	  76.470	 -52.458	   0.97	   1.21	   0.60	   0.88	   0.41	   3.26	  10.91	   0.83	   0.98	   0.47	   6.0	   1.2	   2.5	   2.6	   0.43	sync	 226	 761	1185
SPT-S_J050552-5339.9	  76.470	 -53.665	   3.61	   4.53	   0.47	   1.20	   0.28	   1.50	   5.02	   0.91	   2.26	   0.70	   0.3	   1.4	   2.5	   2.8	   0.46	sync	 172	1149	 220
SPT-S_J050553-5058.0	  76.473	 -50.967	   1.42	   1.86	   0.86	   1.20	   0.60	   3.85	  13.32	   1.04	   1.37	   0.60	   5.4	   0.9	   2.7	   2.5	   0.40	sync	 257	 712	 234
SPT-S_J050554-5207.6	  76.475	 -52.127	   0.41	   0.54	   0.49	   0.75	   0.32	   3.85	  13.31	   0.79	   1.05	   0.45	   8.7	   1.7	   2.2	   2.7	   0.51	dust	 311	 908	 746
SPT-S_J050555-5716.4	  76.480	 -57.275	   1.17	   1.46	   0.66	   0.97	   0.44	   3.21	  10.75	   0.86	   1.01	   0.48	   5.4	   1.0	   2.6	   2.5	   0.41	sync	 323	 333	 377
SPT-S_J050555-5231.0	  76.482	 -52.517	   0.20	   0.25	   0.41	   0.62	   0.27	   3.08	  10.29	   0.68	   0.83	   0.39	  10.1	   1.8	   2.2	   2.7	   0.51	dust	 388	 925	1132
SPT-S_J050556-5809.2	  76.487	 -58.155	   3.17	   3.84	   0.30	   0.36	   0.16	   0.00	  -0.50	   0.41	   0.83	   0.28	   NaN	   0.6	   2.8	   2.5	   0.37	sync	 367	 850	 180
SPT-S_J050557-5803.0	  76.488	 -58.050	   0.11	   0.14	   0.39	   0.58	   0.25	   3.01	   9.65	   0.66	   0.83	   0.36	  11.6	   1.9	   2.2	   2.7	   0.53	dust	 177	 489	 445
SPT-S_J050558-5946.4	  76.495	 -59.774	   3.14	   3.80	   0.32	   0.40	   0.17	   0.45	   1.44	   0.47	   1.02	   0.33	  -2.6	   0.9	   2.7	   2.7	   0.40	sync	 566	1968	 463
SPT-S_J050603-5252.4	  76.514	 -52.875	   1.80	   2.26	   1.01	   1.24	   0.71	   3.05	  10.21	   1.02	   1.07	   0.57	   4.1	   0.2	   2.9	   2.1	   0.31	sync	 650	 848	 407
SPT-S_J050603-5041.7	  76.516	 -50.697	   0.00	  -0.28	   0.36	   0.53	   0.23	   3.00	  10.38	   0.63	   0.76	   0.33	   NaN	   2.0	   2.1	   2.7	   0.54	dust	  19	 828	1141
SPT-S_J050603-5256.0	  76.516	 -52.934	   0.00	  -1.33	   0.29	   0.40	   0.17	   3.38	  11.30	   0.58	   0.74	   0.30	   NaN	   2.4	   1.8	   2.6	   0.62	dust	 750	 704	 552
SPT-S_J050604-5328.6	  76.517	 -53.478	   0.00	  -0.24	   0.40	   0.56	   0.27	   3.91	  13.07	   0.72	   0.93	   0.42	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 247	1204	 575
SPT-S_J050604-5352.2	  76.518	 -53.871	   3.27	   4.11	   0.32	   0.42	   0.18	   0.39	   1.32	   0.48	   1.05	   0.34	  -3.1	   0.9	   2.7	   2.6	   0.40	sync	 618	 517	 781
SPT-S_J050605-5634.1	  76.521	 -56.569	   0.00	  -0.33	   0.36	   0.53	   0.22	   3.49	  11.69	   0.67	   0.85	   0.37	   NaN	   2.1	   2.0	   2.7	   0.57	dust	 243	 288	1230
SPT-S_J050607-5844.2	  76.529	 -58.737	   1.82	   2.20	   1.14	   1.24	   0.79	   3.76	  12.04	   1.18	   1.53	   0.68	   4.6	   0.5	   2.8	   2.3	   0.35	sync	  33	 334	 747
SPT-S_J050607-5233.4	  76.531	 -52.558	   2.59	   3.26	   2.00	   1.42	   1.28	   3.53	  11.81	   1.49	   1.66	   0.78	   3.5	  -0.6	   2.8	   1.7	   0.21	sync	 506	1105	 959
SPT-S_J050607-5536.9	  76.532	 -55.616	   2.50	   3.14	   2.00	   1.40	   1.27	   3.91	  13.07	   1.61	   2.40	   0.86	   3.9	  -0.2	   3.0	   2.0	   0.27	sync	 801	 291	  13
SPT-S_J050607-5844.8	  76.533	 -58.748	   7.25	   8.77	   8.28	   1.28	   1.30	   2.54	   8.12	   6.93	   3.03	   2.65	  -0.2	  -0.4	   1.1	   1.4	   0.01	sync	   6	 373	 786
SPT-S_J050609-5856.2	  76.540	 -58.937	   0.27	   0.32	   0.41	   0.62	   0.28	   3.06	   9.79	   0.69	   0.84	   0.37	   9.3	   1.8	   2.2	   2.7	   0.52	dust	 448	 504	1466
SPT-S_J050609-5649.2	  76.541	 -56.821	   0.92	   1.16	   0.58	   0.86	   0.39	   3.27	  10.93	   0.81	   0.98	   0.45	   6.1	   1.2	   2.5	   2.6	   0.44	sync	 516	 303	 901
SPT-S_J050610-5407.1	  76.543	 -54.119	   0.00	  -0.31	   0.36	   0.50	   0.23	   3.09	  10.34	   0.63	   0.78	   0.33	   NaN	   2.0	   2.1	   2.7	   0.56	dust	 981	 649	 759
SPT-S_J050610-5037.8	  76.544	 -50.631	   0.77	   1.01	   0.53	   0.83	   0.35	   3.20	  11.06	   0.78	   0.93	   0.44	   6.5	   1.3	   2.5	   2.6	   0.45	sync	 244	 591	1386
SPT-S_J050610-5133.1	  76.545	 -51.553	   1.83	   2.40	   1.15	   1.36	   0.82	   3.74	  12.94	   1.18	   1.48	   0.68	   4.6	   0.4	   2.9	   2.3	   0.33	sync	 281	 990	 581
SPT-S_J050611-5241.5	  76.547	 -52.692	   0.19	   0.24	   0.43	   0.64	   0.29	   3.52	  11.77	   0.72	   0.93	   0.40	  10.6	   1.9	   2.2	   2.7	   0.53	dust	 670	 949	 501
SPT-S_J050612-5236.7	  76.551	 -52.613	   0.58	   0.72	   0.57	   0.82	   0.39	   4.20	  14.04	   0.88	   1.26	   0.53	   8.1	   1.8	   2.2	   2.7	   0.51	dust	 705	1102	 756
SPT-S_J050612-5651.0	  76.551	 -56.851	   0.01	   0.01	   0.40	   0.59	   0.26	   3.47	  11.60	   0.69	   0.89	   0.37	  18.9	   1.9	   2.1	   2.7	   0.54	dust	 587	 240	 841
SPT-S_J050612-5626.2	  76.552	 -56.437	   3.23	   4.06	   0.28	   0.34	   0.14	   0.00	  -3.10	   0.35	   0.69	   0.24	   NaN	   0.4	   2.8	   2.4	   0.33	sync	 504	 269	 750
SPT-S_J050612-5015.2	  76.554	 -50.254	   0.96	   1.26	   0.58	   0.91	   0.39	   3.13	  10.82	   0.80	   0.95	   0.45	   5.9	   1.1	   2.6	   2.6	   0.42	sync	 332	 912	 629
SPT-S_J050614-5725.3	  76.560	 -57.423	   1.72	   2.08	   1.00	   1.18	   0.70	   3.44	  11.01	   1.06	   1.26	   0.60	   4.5	   0.5	   2.8	   2.3	   0.34	sync	 276	 226	 265
SPT-S_J050614-5734.8	  76.561	 -57.580	   0.00	   0.00	   0.39	   0.58	   0.24	   3.30	  10.58	   0.68	   0.85	   0.38	  28.3	   2.0	   2.1	   2.7	   0.55	dust	 378	  95	 245
SPT-S_J050615-5717.4	  76.563	 -57.291	   3.05	   3.83	   2.70	   1.39	   1.45	   3.57	  11.93	   1.80	   1.97	   0.85	   3.1	  -0.9	   2.6	   1.5	   0.16	sync	 487	 255	 534
